"pony","pony2","relation","writer"
"Applejack","Twilight Sparkle",0.0495267624020888,"Amy Keating Rogers"
"Rainbow Dash","Twilight Sparkle",0.0398790322580645,"Amy Keating Rogers"
"Rarity","Twilight Sparkle",0.0175847457627119,"Amy Keating Rogers"
"Fluttershy","Twilight Sparkle",0.0274837662337662,"Amy Keating Rogers"
"pinkie Pie","Twilight Sparkle",0.0524342105263158,"Amy Keating Rogers"
"Twilight Sparkle","Applejack",0.0495267624020888,"Amy Keating Rogers"
"Rainbow Dash","Applejack",0.0247850355657986,"Amy Keating Rogers"
"Rarity","Applejack",0.0185290082754348,"Amy Keating Rogers"
"Fluttershy","Applejack",0.0162337662337662,"Amy Keating Rogers"
"pinkie Pie","Applejack",0.0325079016078054,"Amy Keating Rogers"
"Twilight Sparkle","Rainbow Dash",0.0398790322580645,"Amy Keating Rogers"
"Applejack","Rainbow Dash",0.0247850355657986,"Amy Keating Rogers"
"Rarity","Rainbow Dash",0.00778865748794672,"Amy Keating Rogers"
"Fluttershy","Rainbow Dash",0.00617930456640134,"Amy Keating Rogers"
"pinkie Pie","Rainbow Dash",0.0325574934403457,"Amy Keating Rogers"
"Twilight Sparkle","Rarity",0.0175847457627119,"Amy Keating Rogers"
"Applejack","Rarity",0.0185290082754348,"Amy Keating Rogers"
"Rainbow Dash","Rarity",0.00778865748794672,"Amy Keating Rogers"
"Fluttershy","Rarity",0.023299581774158,"Amy Keating Rogers"
"pinkie Pie","Rarity",0.015842997323818,"Amy Keating Rogers"
"Twilight Sparkle","Fluttershy",0.0274837662337662,"Amy Keating Rogers"
"Applejack","Fluttershy",0.0162337662337662,"Amy Keating Rogers"
"Rainbow Dash","Fluttershy",0.00617930456640134,"Amy Keating Rogers"
"Rarity","Fluttershy",0.023299581774158,"Amy Keating Rogers"
"pinkie Pie","Fluttershy",0.00745727956254272,"Amy Keating Rogers"
"Twilight Sparkle","pinkie Pie",0.0524342105263158,"Amy Keating Rogers"
"Applejack","pinkie Pie",0.0325079016078054,"Amy Keating Rogers"
"Rainbow Dash","pinkie Pie",0.0325574934403457,"Amy Keating Rogers"
"Rarity","pinkie Pie",0.015842997323818,"Amy Keating Rogers"
"Fluttershy","pinkie Pie",0.00745727956254272,"Amy Keating Rogers"
"Applejack","Twilight Sparkle",0.0567167318776558,"M. A. Larson"
"Rainbow Dash","Twilight Sparkle",0.0351195276962287,"M. A. Larson"
"Rarity","Twilight Sparkle",0.0508119218910586,"M. A. Larson"
"Fluttershy","Twilight Sparkle",0.041423703142749,"M. A. Larson"
"pinkie Pie","Twilight Sparkle",0.0624866613885925,"M. A. Larson"
"Twilight Sparkle","Applejack",0.0567167318776558,"M. A. Larson"
"Rainbow Dash","Applejack",0.0278761177982325,"M. A. Larson"
"Rarity","Applejack",0.0174770258980785,"M. A. Larson"
"Fluttershy","Applejack",0.014327485380117,"M. A. Larson"
"pinkie Pie","Applejack",0.0164805954279638,"M. A. Larson"
"Twilight Sparkle","Rainbow Dash",0.0351195276962287,"M. A. Larson"
"Applejack","Rainbow Dash",0.0278761177982325,"M. A. Larson"
"Rarity","Rainbow Dash",0.0369250480461243,"M. A. Larson"
"Fluttershy","Rainbow Dash",0.0314845409487845,"M. A. Larson"
"pinkie Pie","Rainbow Dash",0.0139034908919261,"M. A. Larson"
"Twilight Sparkle","Rarity",0.0508119218910586,"M. A. Larson"
"Applejack","Rarity",0.0174770258980785,"M. A. Larson"
"Rainbow Dash","Rarity",0.0369250480461243,"M. A. Larson"
"Fluttershy","Rarity",0.0133834586466165,"M. A. Larson"
"pinkie Pie","Rarity",0.00524948735475051,"M. A. Larson"
"Twilight Sparkle","Fluttershy",0.041423703142749,"M. A. Larson"
"Applejack","Fluttershy",0.014327485380117,"M. A. Larson"
"Rainbow Dash","Fluttershy",0.0314845409487845,"M. A. Larson"
"Rarity","Fluttershy",0.0133834586466165,"M. A. Larson"
"pinkie Pie","Fluttershy",0.0177033492822967,"M. A. Larson"
"Twilight Sparkle","pinkie Pie",0.0624866613885925,"M. A. Larson"
"Applejack","pinkie Pie",0.0164805954279638,"M. A. Larson"
"Rainbow Dash","pinkie Pie",0.0139034908919261,"M. A. Larson"
"Rarity","pinkie Pie",0.00524948735475051,"M. A. Larson"
"Fluttershy","pinkie Pie",0.0177033492822967,"M. A. Larson"
"Applejack","Twilight Sparkle",0.030654281098546,"Meghan McCarthy"
"Rainbow Dash","Twilight Sparkle",0.0133692539286239,"Meghan McCarthy"
"Rarity","Twilight Sparkle",0.0370876398556252,"Meghan McCarthy"
"Fluttershy","Twilight Sparkle",0.0293974868093302,"Meghan McCarthy"
"pinkie Pie","Twilight Sparkle",0.0259742306631467,"Meghan McCarthy"
"Twilight Sparkle","Applejack",0.030654281098546,"Meghan McCarthy"
"Rainbow Dash","Applejack",0.0226010101010101,"Meghan McCarthy"
"Rarity","Applejack",0.00649524989673689,"Meghan McCarthy"
"Fluttershy","Applejack",0.00277777777777778,"Meghan McCarthy"
"pinkie Pie","Applejack",0.00765582655826558,"Meghan McCarthy"
"Twilight Sparkle","Rainbow Dash",0.0133692539286239,"Meghan McCarthy"
"Applejack","Rainbow Dash",0.0226010101010101,"Meghan McCarthy"
"Rarity","Rainbow Dash",0.00371747211895911,"Meghan McCarthy"
"Fluttershy","Rainbow Dash",0.0081448723690103,"Meghan McCarthy"
"pinkie Pie","Rainbow Dash",0.0353242793791574,"Meghan McCarthy"
"Twilight Sparkle","Rarity",0.0370876398556252,"Meghan McCarthy"
"Applejack","Rarity",0.00649524989673689,"Meghan McCarthy"
"Rainbow Dash","Rarity",0.00371747211895911,"Meghan McCarthy"
"Fluttershy","Rarity",0.0351786401010859,"Meghan McCarthy"
"pinkie Pie","Rarity",0.0116148336204552,"Meghan McCarthy"
