"title","writer","total_second"
"Friendship is Magic, part 1","Lauren Faust",0
"Friendship is Magic, part 2","Lauren Faust",68
"The Ticket Master","Amy Keating Rogers & Lauren Faust",56
"Applebuck Season","Amy Keating Rogers",0
"Griffon the Brush Off","Cindy Morrow",0
"Boast Busters","Chris Savino",0
"Dragonshy","Meghan McCarthy",20
"Look Before You Sleep","Charlotte Fullerton",0
"Bridle Gossip","Amy Keating Rogers",33
"Swarm of the Century","M. A. Larson",0
"Winter Wrap Up","Cindy Morrow",198
"Call of the Cutie","Meghan McCarthy",24
"Fall Weather Friends","Amy Keating Rogers",0
"Suited For Success","Charlotte Fullerton",253
"Feeling Pinkie Keen","Dave Polsky",0
"Sonic Rainboom","M. A. Larson",0
"Stare Master","Chris Savino",42
"The Show Stoppers","Cindy Morrow",136
"A Dog and Pony Show","Amy Keating Rogers",0
"Green Isn't Your Color","Meghan McCarthy",0
"Over a Barrel","Dave Polsky",71
"A Bird in the Hoof","Charlotte Fullerton",0
"The Cutie Mark Chronicles","M. A. Larson",71
"Owl's Well That Ends Well","Cindy Morrow",0
"Party of One","Meghan McCarthy",39
"The Best Night Ever","Amy Keating Rogers",307
"The Return of Harmony Part 1","M. A. Larson",0
"The Return of Harmony Part 2","M. A. Larson",0
"Lesson Zero","Meghan McCarthy",0
"Luna Eclipsed","M. A. Larson",0
"Sisterhooves Social","Cindy Morrow",0
"The Cutie Pox","Amy Keating Rogers",0
"May the Best Pet Win!","Charlotte Fullerton",220
"The Mysterious Mare Do Well","Merriwether Williams",0
"Sweet and Elite","Meghan McCarthy",108
"Secret of My Excess","M. A. Larson",0
"Hearth's Warming Eve","Merriwether Williams",38
"Family Appreciation Day","Cindy Morrow",0
"Baby Cakes","Charlotte Fullerton",41
"The Last Roundup","Amy Keating Rogers",0
"The Super Speedy Cider Squeezy 6000","M. A. Larson",230
"Read It and Weep","Cindy Morrow",0
"Hearts and Hooves Day","Meghan McCarthy",94
"A Friend in Deed","Amy Keating Rogers",270
"Putting Your Hoof Down","Merriwether Williams; story by Charlotte Fullerton",0
"It's About Time","M. A. Larson",0
"Dragon Quest","Merriwether Williams",0
"Hurricane Fluttershy","Cindy Morrow",0
"Ponyville Confidential","M. A. Larson",0
"MMMystery on the Friendship Express","Amy Keating Rogers",0
"A Canterlot Wedding - Part 1","Meghan McCarthy",113
"A Canterlot Wedding - Part 2","Meghan McCarthy",266
"The Crystal Empire - Part 1","Meghan McCarthy",197
"The Crystal Empire - Part 2","Meghan McCarthy",66
"Too Many Pinkie Pies","Dave Polsky",0
"One Bad Apple","Cindy Morrow",109
"Magic Duel","M. A. Larson",0
"Sleepless in Ponyville","Corey Powell",0
"Wonderbolts Academy","Merriwether Williams",0
"Apple Family Reunion","Cindy Morrow",132
"Spike at Your Service","Merriwether Williams; story by Dave Polsky",0
"Keep Calm and Flutter On","Dave Polsky; story by Teddy Antonio",0
"Just for Sidekicks","Corey Powell",0
"Games Ponies Play","Dave Polsky",0
"Magical Mystery Cure","M. A. Larson",624
"Princess Twilight Sparkle - Part 1","Meghan McCarthy",0
"Princess Twilight Sparkle - Part 2","Meghan McCarthy",0
"Castle Mane-ia","Josh Haber",0
"Daring Don't","Dave Polsky",0
"Flight to the Finish","Ed Valentine",179
"Power Ponies","Meghan McCarthy, Charlotte Fullerton & Betsy McGowen",0
"Bats!","Merriwether Williams",139
"Rarity Takes Manehattan","Dave Polsky",196
"Pinkie Apple Pie","Natasha Levinger",147
"Rainbow Falls","Corey Powell",0
"Three's A Crowd","Meghan McCarthy & Ed Valentine",113
"Pinkie Pride","Amy Keating Rogers; story by Jayson Thiessen",627
"Simple Ways","Josh Haber",0
"Filli Vanilli","Amy Keating Rogers",195
"Twilight Time","Dave Polsky",0
"It Ain't Easy Being Breezies","Natasha Levinger",0
"Somepony to Watch Over Me","Scott Sonneborn",0
"Maud Pie","Noelle Benvenuti",0
"For Whom the Sweetie Belle Toils","Dave Polsky",0
"Leap of Faith","Josh Haber",217
"Testing Testing 1, 2, 3","Amy Keating Rogers",40
"Trade Ya!","Scott Sonneborn",0
"Inspiration Manifestation","Corey Powell & Meghan McCarthy",0
"Equestria Games","Dave Polsky",0
"Twilight's Kingdom - Part 1","Meghan McCarthy",180
"Twilight's Kingdom - Part 2","Meghan McCarthy",76
"The Cutie Map - Part 1","Scott Sonneborn & M. A. Larson; story by Meghan McCarthy",142
"The Cutie Map - Part 2","Scott Sonneborn & M. A. Larson; story by Meghan McCarthy",0
"Castle Sweet Castle","Joanna Lewis & Kristine Songco",195
"Bloom & Gloom","Josh Haber",0
"Tanks for the Memories","Cindy Morrow",159
"Appleoosa's Most Wanted","Dave Polsky",0
"Make New Friends but Keep Discord","Natasha Levinger",0
"The Lost Treasure of Griffonstone","Amy Keating Rogers",0
"Slice of Life","M. A. Larson",0
"Princess Spike","Neal Dusedau; story by Jayson Thiessen & Jim Miller",0
"Party Pooped","Nick Confalone; story by Jayson Thiessen & Jim Miller",0
"Amending Fences","M. A. Larson",0
"Do Princesses Dream of Magic Sheep?","Scott Sonneborn; story by Jayson Thiessen & Jim Miller",0
"Canterlot Boutique","Amy Keating Rogers",206
"Rarity Investigates!","Joanna Lewis & Kristine Songco; story by Meghan McCarthy, M. A. Larson, Joanna Lewis & Kristine Songco",0
"Made in Manehattan","Noelle Benvenuti",0
"Brotherhooves Social","Dave Polsky",66
"Crusaders of the Lost Mark","Amy Keating Rogers",678
"The One Where Pinkie Pie Knows","Gillian M. Berrow",0
"Hearthbreakers","Nick Confalone",0
"Scare Master","Natasha Levinger",0
"What About Discord?","Neal Dusedau",0
"The Hooffields and McColts","Joanna Lewis & Kristine Songco",0
"The Mane Attraction","Amy Keating Rogers",269
"The Cutie Re-Mark - Part 1","Josh Haber",0
"The Cutie Re-Mark - Part 2","Josh Haber",131
"The Crystalling - Part 1","Josh Haber",0
"The Crystalling - Part 2","Josh Haber",0
"The Gift of the Maud Pie","Michael P. Fox & Wil Fox; story by Josh Haber, Michael P. Fox & Wil Fox",0
"On Your Marks","Dave Polsky & Josh Haber; story by Dave Polsky",127
"Gauntlet of Fire","Joanna Lewis & Kristine Songco",0
"No Second Prances","Nick Confalone",0
"Newbie Dash","Dave Rapp; story by Dave Polsky & Dave Rapp",0
"A Hearth's Warming Tail","Michael Vogel",675
"The Saddle Row Review","Nick Confalone",0
"Applejack's ""Day"" Off","Michael P. Fox & Wil Fox; story by Neal Dusedau, Michael P. Fox & Wil Fox",0
"Flutter Brutter","Dave Rapp; story by Meghan McCarthy",123
"Spice Up Your Life","Michael Vogel",144
"Stranger Than Fan Fiction","Josh Haber & Michael Vogel",0
"The Cart Before the Ponies","Ed Valentine; story by Ed Valentine and Michael Vogel",125
"28 Pranks Later","F.M. De Marco; story by Meghan McCarthy",0
"The Times They Are A Changeling","Kevin Burke & Chris ""Doc"" Wyatt; story by Michael Vogel, Kevin Burke & Chris ""Doc"" Wyatt",147
"Dungeons & Discords","Nick Confalone",0
"Buckball Season","Jennifer Skelly",0
"The Fault in Our Cutie Marks","Ed Valentine; story by Josh Haber and Meghan McCarthy",142
"Viva Las Pegasus","Kevin Burke & Chris ""Doc"" Wyatt; story by Michael Vogel, Kevin Burke & Chris ""Doc"" Wyatt",0
"Every Little Thing She Does","Michael Vogel",0
"P.P.O.V. (Pony Point of View)","Michael P. Fox & Wil Fox; story by Kevin Burke, Chris ""Doc"" Wyatt, Michael P. Fox, & Wil Fox",0
"Where the Apple Lies","Dave Rapp; story by Meghan McCarthy & Dave Rapp",0
"Top Bolt","Joanna Lewis & Kristine Songco; story by Meghan McCarthy, Joanna Lewis, & Kristine Songco",0
"To Where and Back Again - Part 1","Josh Haber & Michael Vogel",0
"To Where and Back Again - Part 2","Josh Haber & Michael Vogel",0
"Celestial Advice","Joanna Lewis & Kristine Songco",0
"All Bottled Up","Joanna Lewis & Kristine Songco",116
"A Flurry of Emotions","Sammie Crowley & Whitney Wetta",0
"Rock Solid Friendship","Nick Confalone",0
"Fluttershy Leans In","Gillian M. Berrow",0
"Forever Filly","Michael P. Fox & Wil Fox",0
"Parental Glideance","Josh Hamilton",0
"Hard to Say Anything","Becky Wangberg",193
"Honest Apple","Kevin Lappin",0
"A Royal Problem","Joanna Lewis & Kristine Songco",0
"Not Asking for Trouble","May Chan",0
"Discordant Harmony","Michael P. Fox & Wil Fox",0
"The Perfect Pear","Joanna Lewis & Kristine Songco",95
"Fame and Misfortune","M. A. Larson",136
"Triple Threat","Josh Hamilton",0
"Campfire Tales","Barry Safchik & Michael Platt",0
"To Change a Changeling","Kevin Lappin",0
"Daring Done?","Gillian M. Berrow",0
"It Isn't the Mane Thing About You","Josh Haber",0
"A Health of Information","Sammie Crowley & Whitney Wetta",0
"Marks and Recreation","May Chan",142
"Once Upon a Zeppelin","Brittany Jo Flores",0
"Secrets and Pies","Josh Hamilton",0
"Uncommon Bond","Josh Haber & Kevin Lappin",0
"Shadow Play - Part 1","Josh Haber & Nicole Dubuc; story by Josh Haber",0
"Shadow Play - Part 2","Josh Haber & Nicole Dubuc; story by Josh Haber",0
"School Daze - Part 1","Michael Vogel & Nicole Dubuc",151
