"Episode","Song","Lead","Begins.at","Length"
"Friendship is Magic, part 2","Laughter Song(International)","Pinkie Pie","7:44","1:08"
"The Ticket Master","Pinkie's Gala Fantasy Song(International)","Pinkie Pie","6:05","0:40"
"The Ticket Master","The Ticket Song(International)","Pinkie Pie","16:41","0:16"
"Dragonshy","Hop Skip and Jump song[note 1](International)","Pinkie Pie","9:27","0:20"
"Bridle Gossip","Evil Enchantress song[note 1](International)","Pinkie Pie, Fluttershy","3:57 (Pinkie Pie), 14:47 (Fluttershy)","0:13, 0:20"
"Winter Wrap Up","Winter Wrap Up(International)","Mane Six, crowd","2:51","3:18"
"Call of the Cutie","Cupcake Song(International)","Pinkie Pie","12:15","0:24"
"Suited For Success","Art of the Dress(International)","Rarity; Rarity, Mane Six (reprise)","4:13, 9:18 (reprise)","1:43, 2:30"
"Stare Master","Hush Now Lullaby(International)","Fluttershy, Sweetie Belle","10:52 (Fluttershy), 11:13 (Sweetie Belle)","0:12, 0:30"
"The Show Stoppers","Cutie Mark Crusaders Song(International)","Cutie Mark Crusaders","16:13","2:16"
"Over a Barrel","You Got to Share, You Got to Care(International)","Pinkie Pie","13:46","1:11"
"The Cutie Mark Chronicles","So Many Wonders(International)","Fluttershy","7:51","1:11"
"Party of One","Pinkie Pie's Singing Telegram(International)","Pinkie Pie","0:39","0:39"
"The Best Night Ever","At the Gala(International)","Mane Six, crowd","4:09","3:18"
"The Best Night Ever","I'm at the Grand Galloping Gala[note 1](International)","Pinkie Pie","10:23","0:25"
"The Best Night Ever","Pony Pokey[note 1](International)","Pinkie Pie","15:19","1:24"
"May the Best Pet Win!","Find A Pet Song(International)","Fluttershy, Rainbow Dash","3:25","3:40"
"Sweet and Elite","Becoming Popular (The Pony Everypony Should Know)(International)","Rarity","8:58","1:48"
"Hearth's Warming Eve","The Heart Carol(International)","Choir","20:14","0:38"
"Baby Cakes","Happy Monthiversary(International)","Pinkie Pie","2:30","0:14"
"Baby Cakes","Piggy Dance(International)","Pinkie Pie","9:09","0:27"
"The Super Speedy Cider Squeezy 6000","The Flim Flam Brothers(International)","Flim, Flam, Granny Smith, crowd","4:57","3:50"
"Hearts and Hooves Day","The Perfect Stallion(International)","Cutie Mark Crusaders","3:10","1:34"
"A Friend in Deed","Smile Song(International)","Pinkie Pie, crowd","3:00","3:22"
"A Friend in Deed","Cranky Doodle Donkey(International)","Pinkie Pie","7:10","0:11"
"A Friend in Deed","Welcome Song(International)","Pinkie Pie","10:19","0:22"
