"word","n","writer","N","sentiment"
"ready",29,"Amy Keating Rogers",17,"positive"
"bad",21,"Amy Keating Rogers",17,"negative"
"amazing",19,"Amy Keating Rogers",17,"positive"
"fine",19,"Amy Keating Rogers",17,"positive"
"special",17,"Amy Keating Rogers",17,"positive"
"nice",16,"Amy Keating Rogers",17,"positive"
"lovely",15,"Amy Keating Rogers",17,"positive"
"wrong",14,"Amy Keating Rogers",17,"negative"
"extra",13,"Amy Keating Rogers",17,"positive"
"real",10,"Amy Keating Rogers",17,"positive"
"super",10,"Amy Keating Rogers",17,"positive"
"true",10,"Amy Keating Rogers",17,"positive"
"awful",9,"Amy Keating Rogers",17,"negative"
"beautiful",9,"Amy Keating Rogers",17,"positive"
"favorite",9,"Amy Keating Rogers",17,"positive"
"happy",9,"Amy Keating Rogers",17,"positive"
"hard",9,"Amy Keating Rogers",17,"negative"
"terrible",9,"Amy Keating Rogers",17,"negative"
"awesome",8,"Amy Keating Rogers",17,"positive"
"busy",8,"Amy Keating Rogers",17,"positive"
"male",8,"Amy Keating Rogers",17,"positive"
"perfect",8,"Amy Keating Rogers",17,"positive"
"biggest",7,"Amy Keating Rogers",17,"positive"
"blue",7,"Amy Keating Rogers",17,"positive"
"delicious",7,"Amy Keating Rogers",17,"positive"
"ridiculous",7,"Amy Keating Rogers",17,"negative"
"safe",7,"Amy Keating Rogers",17,"positive"
"annual",6,"Amy Keating Rogers",17,"positive"
"deep",6,"Amy Keating Rogers",17,"positive"
"golden",6,"Amy Keating Rogers",17,"positive"
"grand",6,"Amy Keating Rogers",17,"positive"
"quick",6,"Amy Keating Rogers",17,"positive"
"silly",6,"Amy Keating Rogers",17,"negative"
"entire",5,"Amy Keating Rogers",17,"positive"
"final",5,"Amy Keating Rogers",17,"positive"
"fluttershy",5,"Amy Keating Rogers",17,"positive"
"hungry",5,"Amy Keating Rogers",17,"positive"
"jealous",5,"Amy Keating Rogers",17,"negative"
"lucky",5,"Amy Keating Rogers",17,"positive"
"sad",5,"Amy Keating Rogers",17,"negative"
"spectacular",5,"Amy Keating Rogers",17,"positive"
"abysmal",4,"Amy Keating Rogers",17,"negative"
"afraid",4,"Amy Keating Rogers",17,"negative"
"creepy",4,"Amy Keating Rogers",17,"negative"
"desperate",4,"Amy Keating Rogers",17,"negative"
"dumb",4,"Amy Keating Rogers",17,"negative"
"easy",4,"Amy Keating Rogers",17,"positive"
"famous",4,"Amy Keating Rogers",17,"positive"
"fancy",4,"Amy Keating Rogers",17,"positive"
"fantastic",4,"Amy Keating Rogers",17,"positive"
"funny",4,"Amy Keating Rogers",17,"negative"
"glad",4,"Amy Keating Rogers",17,"positive"
"horrible",4,"Amy Keating Rogers",17,"negative"
"lousy",4,"Amy Keating Rogers",17,"negative"
"mighty",4,"Amy Keating Rogers",17,"positive"
"musical",4,"Amy Keating Rogers",17,"positive"
"mysterious",4,"Amy Keating Rogers",17,"negative"
"nervous",4,"Amy Keating Rogers",17,"negative"
"official",4,"Amy Keating Rogers",17,"positive"
"royal",4,"Amy Keating Rogers",17,"positive"
"sour",4,"Amy Keating Rogers",17,"negative"
"sweet",4,"Amy Keating Rogers",17,"positive"
"tasty",4,"Amy Keating Rogers",17,"positive"
"weird",4,"Amy Keating Rogers",17,"negative"
"wonderful",4,"Amy Keating Rogers",17,"positive"
"happy",23,"M. A. Larson",18,"positive"
"bad",21,"M. A. Larson",18,"negative"
"true",18,"M. A. Larson",18,"positive"
"sonic",15,"M. A. Larson",18,"positive"
"beautiful",12,"M. A. Larson",18,"positive"
"future",12,"M. A. Larson",18,"positive"
"nice",11,"M. A. Larson",18,"positive"
"magic",10,"M. A. Larson",18,"positive"
"powerful",10,"M. A. Larson",18,"positive"
"ready",10,"M. A. Larson",18,"positive"
"special",10,"M. A. Larson",18,"positive"
"wrong",10,"M. A. Larson",18,"negative"
"amazing",9,"M. A. Larson",18,"positive"
"entire",9,"M. A. Larson",18,"positive"
"afraid",8,"M. A. Larson",18,"negative"
"awful",8,"M. A. Larson",18,"negative"
"funny",8,"M. A. Larson",18,"negative"
"proud",8,"M. A. Larson",18,"positive"
"fluttershy",7,"M. A. Larson",18,"positive"
"incredible",7,"M. A. Larson",18,"positive"
"wonderful",7,"M. A. Larson",18,"positive"
"cool",6,"M. A. Larson",18,"positive"
"fine",6,"M. A. Larson",18,"positive"
"free",6,"M. A. Larson",18,"positive"
"glad",6,"M. A. Larson",18,"positive"
"hard",6,"M. A. Larson",18,"negative"
"perfect",6,"M. A. Larson",18,"positive"
"real",6,"M. A. Larson",18,"positive"
"sweet",6,"M. A. Larson",18,"positive"
"unique",6,"M. A. Larson",18,"positive"
"dangerous",5,"M. A. Larson",18,"negative"
"dark",5,"M. A. Larson",18,"negative"
"horrible",5,"M. A. Larson",18,"negative"
"hungry",5,"M. A. Larson",18,"positive"
"late",5,"M. A. Larson",18,"positive"
"lovely",5,"M. A. Larson",18,"positive"
"normal",5,"M. A. Larson",18,"positive"
"pleasant",5,"M. A. Larson",18,"positive"
"royal",5,"M. A. Larson",18,"positive"
"strange",5,"M. A. Larson",18,"negative"
"total",5,"M. A. Larson",18,"positive"
"worth",5,"M. A. Larson",18,"positive"
"awesome",4,"M. A. Larson",18,"positive"
"bigger",4,"M. A. Larson",18,"positive"
"boring",4,"M. A. Larson",18,"negative"
"delicious",4,"M. A. Larson",18,"positive"
"easy",4,"M. A. Larson",18,"positive"
"eternal",4,"M. A. Larson",18,"positive"
"evil",4,"M. A. Larson",18,"negative"
"flameless",4,"M. A. Larson",18,"positive"
"impossible",4,"M. A. Larson",18,"negative"
"lucky",4,"M. A. Larson",18,"positive"
"magical",4,"M. A. Larson",18,"positive"
"thy",4,"M. A. Larson",18,"positive"
"worst",4,"M. A. Larson",18,"negative"
"special",35,"Meghan McCarthy",26,"positive"
"perfect",29,"Meghan McCarthy",26,"positive"
"ready",26,"Meghan McCarthy",26,"positive"
"amazing",24,"Meghan McCarthy",26,"positive"
"afraid",22,"Meghan McCarthy",26,"negative"
"bad",22,"Meghan McCarthy",26,"negative"
"fine",21,"Meghan McCarthy",26,"positive"
"real",20,"Meghan McCarthy",26,"positive"
"glad",19,"Meghan McCarthy",26,"positive"
"happy",19,"Meghan McCarthy",26,"positive"
"nice",17,"Meghan McCarthy",26,"positive"
"sick",17,"Meghan McCarthy",26,"negative"
"wonderful",17,"Meghan McCarthy",26,"positive"
"wrong",17,"Meghan McCarthy",26,"negative"
"awesome",15,"Meghan McCarthy",26,"positive"
"funny",15,"Meghan McCarthy",26,"negative"
"lovely",15,"Meghan McCarthy",26,"positive"
"terrible",15,"Meghan McCarthy",26,"negative"
"awful",14,"Meghan McCarthy",26,"negative"
"hard",14,"Meghan McCarthy",26,"negative"
"favorite",13,"Meghan McCarthy",26,"positive"
"magic",13,"Meghan McCarthy",26,"positive"
"strong",12,"Meghan McCarthy",26,"positive"
"true",12,"Meghan McCarthy",26,"positive"
"beautiful",11,"Meghan McCarthy",26,"positive"
"busy",11,"Meghan McCarthy",26,"positive"
"sweet",11,"Meghan McCarthy",26,"positive"
"fluttershy",10,"Meghan McCarthy",26,"positive"
"lucky",10,"Meghan McCarthy",26,"positive"
