"title","writer","date","transcript","synopsis"
"Friendship is Magic, part 1","Lauren Faust","2010-10-10","https://mlp.fandom.com/wiki/Transcripts/Friendship_is_Magic,_part_1","https://mlp.fandom.com/wiki/Friendship_is_Magic,_part_1"
"Friendship is Magic, part 2","Lauren Faust","2010-10-22","https://mlp.fandom.com/wiki/Transcripts/Friendship_is_Magic,_part_2","https://mlp.fandom.com/wiki/Friendship_is_Magic,_part_2"
"The Ticket Master","Amy Keating Rogers & Lauren Faust","2010-10-29","https://mlp.fandom.com/wiki/Transcripts/The_Ticket_Master","https://mlp.fandom.com/wiki/The_Ticket_Master"
"Applebuck Season","Amy Keating Rogers","2010-11-05","https://mlp.fandom.com/wiki/Transcripts/Applebuck_Season","https://mlp.fandom.com/wiki/Applebuck_Season"
"Griffon the Brush Off","Cindy Morrow","2010-11-12","https://mlp.fandom.com/wiki/Transcripts/Griffon_the_Brush_Off","https://mlp.fandom.com/wiki/Griffon_the_Brush_Off"
"Boast Busters","Chris Savino","2010-11-19","https://mlp.fandom.com/wiki/Transcripts/Boast_Busters","https://mlp.fandom.com/wiki/Boast_Busters"
"Dragonshy","Meghan McCarthy","2010-11-26","https://mlp.fandom.com/wiki/Transcripts/Dragonshy","https://mlp.fandom.com/wiki/Dragonshy"
"Look Before You Sleep","Charlotte Fullerton","2010-12-03","https://mlp.fandom.com/wiki/Transcripts/Look_Before_You_Sleep","https://mlp.fandom.com/wiki/Look_Before_You_Sleep"
"Bridle Gossip","Amy Keating Rogers","2010-12-10","https://mlp.fandom.com/wiki/Transcripts/Bridle_Gossip","https://mlp.fandom.com/wiki/Bridle_Gossip"
"Swarm of the Century","M. A. Larson","2010-12-17","https://mlp.fandom.com/wiki/Transcripts/Swarm_of_the_Century","https://mlp.fandom.com/wiki/Swarm_of_the_Century"
"Winter Wrap Up","Cindy Morrow","2010-12-24","https://mlp.fandom.com/wiki/Transcripts/Winter_Wrap_Up","https://mlp.fandom.com/wiki/Winter_Wrap_Up"
