"word","n","writer"
"ready",29,"Amy Keating Rogers"
"bad",21,"Amy Keating Rogers"
"amazing",19,"Amy Keating Rogers"
"fine",19,"Amy Keating Rogers"
"special",17,"Amy Keating Rogers"
"nice",16,"Amy Keating Rogers"
"lovely",15,"Amy Keating Rogers"
"wrong",14,"Amy Keating Rogers"
"extra",13,"Amy Keating Rogers"
"real",10,"Amy Keating Rogers"
"super",10,"Amy Keating Rogers"
"true",10,"Amy Keating Rogers"
"awful",9,"Amy Keating Rogers"
"beautiful",9,"Amy Keating Rogers"
"favorite",9,"Amy Keating Rogers"
"happy",9,"Amy Keating Rogers"
"hard",9,"Amy Keating Rogers"
"terrible",9,"Amy Keating Rogers"
"awesome",8,"Amy Keating Rogers"
"busy",8,"Amy Keating Rogers"
"male",8,"Amy Keating Rogers"
"perfect",8,"Amy Keating Rogers"
"biggest",7,"Amy Keating Rogers"
"blue",7,"Amy Keating Rogers"
"delicious",7,"Amy Keating Rogers"
"ridiculous",7,"Amy Keating Rogers"
"safe",7,"Amy Keating Rogers"
"annual",6,"Amy Keating Rogers"
"deep",6,"Amy Keating Rogers"
"golden",6,"Amy Keating Rogers"
"grand",6,"Amy Keating Rogers"
"quick",6,"Amy Keating Rogers"
"silly",6,"Amy Keating Rogers"
"entire",5,"Amy Keating Rogers"
"final",5,"Amy Keating Rogers"
"fluttershy",5,"Amy Keating Rogers"
"hungry",5,"Amy Keating Rogers"
"jealous",5,"Amy Keating Rogers"
"lucky",5,"Amy Keating Rogers"
"sad",5,"Amy Keating Rogers"
"spectacular",5,"Amy Keating Rogers"
"abysmal",4,"Amy Keating Rogers"
"afraid",4,"Amy Keating Rogers"
"creepy",4,"Amy Keating Rogers"
"desperate",4,"Amy Keating Rogers"
"dumb",4,"Amy Keating Rogers"
"easy",4,"Amy Keating Rogers"
"famous",4,"Amy Keating Rogers"
"fancy",4,"Amy Keating Rogers"
"fantastic",4,"Amy Keating Rogers"
"funny",4,"Amy Keating Rogers"
"glad",4,"Amy Keating Rogers"
"horrible",4,"Amy Keating Rogers"
"lousy",4,"Amy Keating Rogers"
"mighty",4,"Amy Keating Rogers"
"musical",4,"Amy Keating Rogers"
"mysterious",4,"Amy Keating Rogers"
"nervous",4,"Amy Keating Rogers"
"official",4,"Amy Keating Rogers"
"royal",4,"Amy Keating Rogers"
"sour",4,"Amy Keating Rogers"
"sweet",4,"Amy Keating Rogers"
"tasty",4,"Amy Keating Rogers"
"weird",4,"Amy Keating Rogers"
"wonderful",4,"Amy Keating Rogers"
"happy",23,"M. A. Larson"
"bad",21,"M. A. Larson"
"true",18,"M. A. Larson"
"sonic",15,"M. A. Larson"
"beautiful",12,"M. A. Larson"
"future",12,"M. A. Larson"
"nice",11,"M. A. Larson"
"magic",10,"M. A. Larson"
"powerful",10,"M. A. Larson"
"ready",10,"M. A. Larson"
"special",10,"M. A. Larson"
"wrong",10,"M. A. Larson"
"amazing",9,"M. A. Larson"
"entire",9,"M. A. Larson"
"afraid",8,"M. A. Larson"
"awful",8,"M. A. Larson"
"funny",8,"M. A. Larson"
"proud",8,"M. A. Larson"
"fluttershy",7,"M. A. Larson"
"incredible",7,"M. A. Larson"
"wonderful",7,"M. A. Larson"
"cool",6,"M. A. Larson"
"fine",6,"M. A. Larson"
"free",6,"M. A. Larson"
"glad",6,"M. A. Larson"
"hard",6,"M. A. Larson"
"perfect",6,"M. A. Larson"
"real",6,"M. A. Larson"
"sweet",6,"M. A. Larson"
"unique",6,"M. A. Larson"
"dangerous",5,"M. A. Larson"
"dark",5,"M. A. Larson"
"horrible",5,"M. A. Larson"
"hungry",5,"M. A. Larson"
"late",5,"M. A. Larson"
"lovely",5,"M. A. Larson"
"normal",5,"M. A. Larson"
"pleasant",5,"M. A. Larson"
"royal",5,"M. A. Larson"
"strange",5,"M. A. Larson"
"total",5,"M. A. Larson"
"worth",5,"M. A. Larson"
"<u+0096>",4,"M. A. Larson"
"awesome",4,"M. A. Larson"
"bigger",4,"M. A. Larson"
"boring",4,"M. A. Larson"
"delicious",4,"M. A. Larson"
"easy",4,"M. A. Larson"
"eternal",4,"M. A. Larson"
"evil",4,"M. A. Larson"
"flameless",4,"M. A. Larson"
"impossible",4,"M. A. Larson"
"lucky",4,"M. A. Larson"
"magical",4,"M. A. Larson"
"thy",4,"M. A. Larson"
"worst",4,"M. A. Larson"
"special",35,"Meghan McCarthy"
"perfect",29,"Meghan McCarthy"
"ready",26,"Meghan McCarthy"
"amazing",24,"Meghan McCarthy"
"afraid",22,"Meghan McCarthy"
"bad",22,"Meghan McCarthy"
"fine",21,"Meghan McCarthy"
"real",20,"Meghan McCarthy"
"glad",19,"Meghan McCarthy"
"happy",19,"Meghan McCarthy"
"nice",17,"Meghan McCarthy"
"sick",17,"Meghan McCarthy"
"wonderful",17,"Meghan McCarthy"
"wrong",17,"Meghan McCarthy"
"awesome",15,"Meghan McCarthy"
"funny",15,"Meghan McCarthy"
"lovely",15,"Meghan McCarthy"
"terrible",15,"Meghan McCarthy"
"awful",14,"Meghan McCarthy"
"hard",14,"Meghan McCarthy"
"favorite",13,"Meghan McCarthy"
"magic",13,"Meghan McCarthy"
"strong",12,"Meghan McCarthy"
"true",12,"Meghan McCarthy"
"beautiful",11,"Meghan McCarthy"
"busy",11,"Meghan McCarthy"
"sweet",11,"Meghan McCarthy"
"fluttershy",10,"Meghan McCarthy"
"lucky",10,"Meghan McCarthy"
"royal",10,"Meghan McCarthy"
"strange",10,"Meghan McCarthy"
"fabulous",9,"Meghan McCarthy"
"super",9,"Meghan McCarthy"
"worst",9,"Meghan McCarthy"
"creative",8,"Meghan McCarthy"
"easy",8,"Meghan McCarthy"
"impossible",8,"Meghan McCarthy"
"powerful",8,"Meghan McCarthy"
"quiet",8,"Meghan McCarthy"
"<u+0096>",7,"Meghan McCarthy"
"crazy",7,"Meghan McCarthy"
"crystal",7,"Meghan McCarthy"
"entire",7,"Meghan McCarthy"
"magical",7,"Meghan McCarthy"
"nervous",7,"Meghan McCarthy"
"rude",7,"Meghan McCarthy"
"dark",6,"Meghan McCarthy"
"dear",6,"Meghan McCarthy"
"difficult",6,"Meghan McCarthy"
"famous",6,"Meghan McCarthy"
"free",6,"Meghan McCarthy"
"honest",6,"Meghan McCarthy"
"huge",6,"Meghan McCarthy"
"incredible",6,"Meghan McCarthy"
"proud",6,"Meghan McCarthy"
"ridiculous",6,"Meghan McCarthy"
"unique",6,"Meghan McCarthy"
"real",36,"Josh Haber"
"powerful",30,"Josh Haber"
"glad",29,"Josh Haber"
"magical",26,"Josh Haber"
"wrong",26,"Josh Haber"
"magic",25,"Josh Haber"
"ready",25,"Josh Haber"
"perfect",23,"Josh Haber"
"amazing",22,"Josh Haber"
"hard",20,"Josh Haber"
"true",19,"Josh Haber"
"bad",18,"Josh Haber"
"nice",18,"Josh Haber"
"ancient",17,"Josh Haber"
"afraid",16,"Josh Haber"
"fine",16,"Josh Haber"
"awesome",15,"Josh Haber"
"busy",15,"Josh Haber"
"common",15,"Josh Haber"
"worse",14,"Josh Haber"
"easy",13,"Josh Haber"
"happy",13,"Josh Haber"
"wonderful",13,"Josh Haber"
"dark",12,"Josh Haber"
"<u+0096>",11,"Josh Haber"
"safe",11,"Josh Haber"
"special",11,"Josh Haber"
"terrible",11,"Josh Haber"
"ridiculous",10,"Josh Haber"
"simple",10,"Josh Haber"
"beautiful",9,"Josh Haber"
"impossible",9,"Josh Haber"
"lovely",9,"Josh Haber"
"lucky",9,"Josh Haber"
"strange",9,"Josh Haber"
"awful",8,"Josh Haber"
"cool",8,"Josh Haber"
"funny",8,"Josh Haber"
"tonic",8,"Josh Haber"
"crazy",7,"Josh Haber"
"daring",7,"Josh Haber"
"evil",7,"Josh Haber"
"giant",7,"Josh Haber"
"late",7,"Josh Haber"
"normal",7,"Josh Haber"
"secret",7,"Josh Haber"
"worth",7,"Josh Haber"
"free",6,"Josh Haber"
"legendary",6,"Josh Haber"
"silly",6,"Josh Haber"
