"writer","N","song_second"
"Amy Keating Rogers (17 episodes)",17,158.705882352941
"M. A. Larson (18 episodes)",18,67.8333333333333
"Meghan McCarthy (26 episodes)",26,66.5
"Josh Haber (22 episodes)",22,40.8181818181818
"Cindy Morrow (11 episodes)",11,67.7272727272727
"Dave Polsky (14 episodes)",14,31.6666666666667
"Nick Confalone (9 episodes)",9,1
"Michael Vogel (12 episodes)",12,106.307692307692
"Charlotte Fullerton (7 episodes)",7,74.4285714285714
"Gillian M. Berrow (5 episodes)",5,1
"Merriwether Williams (7 episodes)",7,26.2857142857143
"Josh Hamilton (4 episodes)",4,1
"Natasha Levinger (4 episodes)",4,37.75
"Nicole Dubuc (7 episodes)",7,40.7142857142857
"Corey Powell (4 episodes)",4,1
"Kevin Lappin (3 episodes)",3,1
"Lauren Faust (3 episodes)",3,42.3333333333333
"Scott Sonneborn (5 episodes)",5,29.4
"Neal Dusedau (3 episodes)",3,1
"Dave Rapp (4 episodes)",4,31.75
"Ed Valentine (4 episodes)",4,140.75
"Jayson Thiessen (4 episodes)",4,157.75
"Jim Miller (3 episodes)",3,1
"Joanna Lewis & Kristine Songco (9 episodes)",9,46.1111111111111
"Michael P. Fox & Wil Fox (6 episodes)",6,1
"Kevin Burke & Chris ""Doc"" Wyatt (3 episodes)",3,73.5
